,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,0,Bronx,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
1,1,Bronx,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
2,2,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
3,3,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
4,4,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
5,5,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
6,6,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
7,7,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
8,8,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
9,9,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
10,10,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
11,11,Brooklyn,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
12,12,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
13,13,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
14,14,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
15,15,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
16,16,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
17,17,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
18,18,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
19,19,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
20,20,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
21,21,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
22,22,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
23,23,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
24,24,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
25,25,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
26,26,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
27,27,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
28,28,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
29,29,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
30,30,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
31,31,Staten Island,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
32,32,Staten Island,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
33,33,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
34,34,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
35,35,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
36,36,Manhattan,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
37,37,Queens,4c48da9f3013a59356c5f0e1,Saffron Garden,17,7.7,16
